origin_country,total_flights,avg_velocity,on_ground
Algeria,7,206.5142857142857,0
Argentina,9,201.53,1
Armenia,1,289.3,0
Australia,258,120.784046692607,56
Austria,96,145.82052083333335,16
Azerbaijan,3,154.79,0
Bahrain,10,205.808,0
Bangladesh,12,121.87166666666667,1
Belarus,2,178.91,0
Belgium,24,102.84750000000001,10
Bhutan,2,172.36,0
Brazil,57,197.22964912280702,1
Brunei Darussalam,2,243.485,0
Bulgaria,6,225.10333333333335,0
Cambodia,1,230.19,0
Canada,98,159.6615306122449,25
Chile,14,186.36285714285714,0
China,229,180.10786026200873,21
Colombia,2,58.74,1
Croatia,8,167.46625,1
Cyprus,1,36.15,0
Czech Republic,17,138.1529411764706,2
Côte d'Ivoire,1,239.74,0
Democratic Republic of the Congo,1,111.66,0
Denmark,19,167.45631578947368,0
Dominican Republic,1,258.65,0
Egypt,20,195.2765,2
Estonia,7,125.55999999999999,3
Ethiopia,6,179.83,1
Finland,52,167.51500000000001,4
France,129,165.0439534883721,5
Georgia,5,131.518,2
Germany,224,145.15611607142858,36
Greece,43,169.53906976744187,2
Hungary,41,163.63682926829267,8
Iceland,8,236.84875,0
India,216,175.73967592592592,17
Indonesia,61,211.15655737704918,0
Iraq,4,224.1875,0
Ireland,231,190.6878787878788,12
Islamic Republic of Iran,2,218.425,0
Israel,27,162.82703703703703,1
Italy,29,119.35655172413793,2
Japan,172,165.2629069767442,24
Jordan,8,208.9075,0
Kazakhstan,3,231.06333333333336,0
Kenya,2,153.33499999999998,0
Kingdom of the Netherlands,70,175.83771428571427,7
Kuwait,4,173.28500000000003,0
Kyrgyzstan,1,240.61,0
Latvia,12,174.16666666666666,1
Lebanon,3,218.49,0
Libyan Arab Jamahiriya,1,275.69,0
Lithuania,10,124.123,3
Luxembourg,12,142.27916666666667,4
Malaysia,61,182.5206557377049,1
Maldives,1,218.16,0
Malta,100,177.5936,9
Mauritius,1,199.9,0
Mexico,37,207.63918918918918,2
Monaco,1,110.67,0
Mongolia,3,202.20000000000002,0
Montenegro,1,177.93,0
Morocco,13,238.98692307692306,0
Myanmar,5,136.10999999999999,1
Nepal,1,211.92,0
New Zealand,20,142.62,3
Norway,38,155.75868421052633,2
Oman,2,191.015,0
Pakistan,6,195.89666666666665,0
Panama,12,220.92416666666668,1
Philippines,39,143.36743589743588,6
Poland,73,184.8213698630137,3
Portugal,41,168.53487804878048,3
Qatar,67,203.24552238805973,5
Republic of Korea,109,179.88385321100918,6
Republic of Moldova,5,222.198,0
Romania,10,154.83700000000002,1
Russian Federation,45,118.72977777777778,1
San Marino,7,190.39714285714285,0
Saudi Arabia,25,214.7888,0
Senegal,1,83.07,0
Serbia,5,171.706,0
Singapore,40,176.09025,5
Slovakia,2,137.865,0
South Africa,27,142.0648148148148,1
Spain,152,162.8100657894737,12
Sri Lanka,4,238.48250000000002,0
Sweden,75,156.19160000000002,10
Switzerland,66,117.705,19
Taiwan,75,188.37906666666666,6
Tajikistan,1,231.9,0
Thailand,73,166.79794520547946,4
Trinidad and Tobago,1,261.59,0
Tunisia,10,192.962,0
Turkey,240,193.2105,8
Ukraine,4,218.0,0
United Arab Emirates,112,186.02642857142857,4
United Kingdom,271,178.2981111111111,19
United States,613,177.65551386623164,62
Uzbekistan,5,239.70999999999998,0
Viet Nam,13,219.08307692307693,0
Zambia,1,137.4,0
