icao24,origin_country,velocity,on_ground
801638,India,134.13,False
88044a,Thailand,238.34,False
7c6b2f,Australia,233.76,False
39de4b,France,214.94,False
39de4c,France,217.75,False
39de57,France,217.34,False
880459,Thailand,242.99,False
842194,Japan,257.43,False
440da5,Austria,149.95,False
880453,Thailand,216.59,False
80162e,India,256.26,False
880451,Thailand,143.02,False
39de53,France,247.42,False
880457,Thailand,78.5,False
39de54,France,183.83,False
4b1803,Switzerland,215.63,False
398249,France,48.49,False
8744f6,Japan,229.24,False
4b1804,Switzerland,63.92,False
4b1806,Switzerland,106.71,False
4b1807,Switzerland,139.57,False
801648,India,100.77,False
4b1800,Switzerland,222.94,False
7c6b1b,Australia,209.65,False
4b1802,Switzerland,141.37,False
7c6b31,Australia,188.25,False
801657,India,226.54,False
880443,Thailand,228.79,False
4952cc,Portugal,193.53,False
4952cd,Portugal,235.0,False
4952ce,Portugal,81.75,False
7c6b35,Australia,260.95,False
c034ab,Canada,129.88,False
80160b,India,1.54,False
7c6b19,Australia,185.2,False
801616,India,1.54,True
7c6b0e,Australia,238.1,False
7c6b0c,Australia,257.63,False
aa9300,United States,234.98,False
801622,India,276.58,False
80160e,India,253.91,False
851914,Japan,197.95,False
4b181b,Switzerland,2.57,True
4952c9,Portugal,222.24,False
a665f1,United States,188.87,False
801627,India,226.59,False
4952c2,Portugal,215.24,False
88045a,Thailand,165.63,False
4952c6,Portugal,158.96,False
4952c8,Portugal,232.08,False
4b180c,Switzerland,217.13,False
8a02ca,Indonesia,71.36,False
801635,India,49.52,False
8a02cb,Indonesia,232.2,False
801633,India,107.93,False
7c6b18,Australia,112.5,False
80161d,India,202.48,False
39de41,France,244.14,False
407a01,United Kingdom,155.72,False
39de44,France,226.5,False
4952ae,Portugal,234.21,False
4b180b,Switzerland,81.56,False
511187,Estonia,231.07,False
3c6667,Germany,205.0,False
ac498c,United States,130.23,False
8a02d4,Indonesia,243.34,False
4952b2,Portugal,221.22,False
4acb01,Sweden,224.35,False
4acb02,Sweden,137.95,False
3c664f,Germany,181.07,False
801689,India,264.81,False
ab034d,United States,293.71,False
4bc8c8,Turkey,211.84,False
4bc8c9,Turkey,222.49,False
4bc8c7,Turkey,219.15,False
4bc8c4,Turkey,2.06,True
4bc8c5,Turkey,216.07,False
4bc8c2,Turkey,92.88,False
44028f,Austria,58.76,False
80167d,India,188.57,False
4bc8d0,Turkey,216.06,False
80167c,India,122.53,False
e4944e,Brazil,222.36,False
00887c,South Africa,80.85,False
511171,Estonia,239.91,False
e4944f,Brazil,229.84,False
e80267,Chile,81.9,False
8a02ae,Indonesia,245.54,False
801699,India,179.63,False
3c6671,Germany,0.06,True
4bc8d5,Turkey,217.72,False
4bc8d3,Turkey,219.13,False
e80269,Chile,241.85,False
80164f,India,141.08,False
471efb,Hungary,257.97,False
a798b9,United States,124.71,False
471eff,Hungary,128.79,False
471efd,Hungary,246.7,False
801661,India,187.0,False
3c666f,Germany,75.83,False
801662,India,184.63,False
801665,India,229.29,False
51118a,Estonia,223.09,False
8744d4,Japan,4.89,True
80165a,India,172.02,False
408134,United Kingdom,91.57,False
a46e6a,United States,0.0,True
801672,India,3.09,True
51117d,Estonia,165.81,False
801678,India,203.98,False
7c1bdd,Australia,73.06,False
861f3c,Japan,211.77,False
0d0acd,Mexico,246.68,False
4acb41,Sweden,210.66,False
4acb43,Sweden,237.87,False
4acb45,Sweden,173.92,False
4acb44,Sweden,199.34,False
4b187f,Switzerland,267.0,False
